
Iteratia 81 : 	x0 = 13.99986686045203		delta = 1.643741407405947e-06
Iteratia 82 : 	x0 = 13.99986521670954		delta = 1.643742489557224e-06
Iteratia 83 : 	x0 = 13.99986357296597		delta = 1.6437435717101806e-06
Iteratia 84 : 	x0 = 13.999861929221316		delta = 1.643744653864599e-06
Iteratia 85 : 	x0 = 13.99986028547558		delta = 1.6437457360205504e-06
Iteratia 86 : 	x0 = 13.99985864172876		delta = 1.643746818177816e-06
Iteratia 87 : 	x0 = 13.99985699798086		delta = 1.643747900337126e-06
Iteratia 88 : 	x0 = 13.999855354231878		delta = 1.643748982497678e-06
Iteratia 89 : 	x0 = 13.999853710481814		delta = 1.6437500646598371e-06
Iteratia 90 : 	x0 = 13.999852066730666		delta = 1.643751146823822e-06
Iteratia 91 : 	x0 = 13.999850422978437		delta = 1.6437522289887557e-06
Iteratia 92 : 	x0 = 13.999848779225125		delta = 1.6437533111560982e-06
Iteratia 93 : 	x0 = 13.999847135470732		delta = 1.6437543933243186e-06
Iteratia 94 : 	x0 = 13.999845491715257		delta = 1.643755475494511e-06
Iteratia 95 : 	x0 = 13.999843847958699		delta = 1.643756557666018e-06
Iteratia 96 : 	x0 = 13.999842204201059		delta = 1.643757639839058e-06
Iteratia 97 : 	x0 = 13.999840560442337		delta = 1.6437587220139966e-06
Iteratia 98 : 	x0 = 13.999838916682533		delta = 1.6437598041903227e-06
Iteratia 99 : 	x0 = 13.999837272921647		delta = 1.6437608863681106e-06
Iteratia 100 : 	x0 = 13.999835629159678		delta = 1.6437619685477967e-06
Iteratia 101 : 	x0 = 13.999833985396627		delta = 1.6437630507287971e-06
Iteratia 102 : 	x0 = 13.999832341632494		delta = 1.643764132911331e-06
Iteratia 103 : 	x0 = 13.99983069786728		delta = 1.6437652150952526e-06
Iteratia 104 : 	x0 = 13.999829054100983		delta = 1.6437662972811466e-06
Iteratia 105 : 	x0 = 13.999827410333603		delta = 1.6437673794683558e-06
Iteratia 106 : 	x0 = 13.999825766565142		delta = 1.6437684616571706e-06
Iteratia 107 : 	x0 = 13.999824122795598		delta = 1.6437695438476646e-06
Iteratia 108 : 	x0 = 13.999822479024973		delta = 1.6437706260396928e-06
Iteratia 109 : 	x0 = 13.999820835253264		delta = 1.64377170823311e-06
Iteratia 110 : 	x0 = 13.999819191480473		delta = 1.6437727904284236e-06
Iteratia 111 : 	x0 = 13.9998175477066		delta = 1.6437738726247606e-06
Iteratia 112 : 	x0 = 13.999815903931646		delta = 1.6437749548234342e-06
Iteratia 113 : 	x0 = 13.99981426015561		delta = 1.6437760370230582e-06
Iteratia 114 : 	x0 = 13.99981261637849		delta = 1.643777119224728e-06
Iteratia 115 : 	x0 = 13.999810972600288		delta = 1.6437782014275643e-06
Iteratia 116 : 	x0 = 13.999809328821005		delta = 1.6437792836320807e-06
Iteratia 117 : 	x0 = 13.99980768504064		delta = 1.6437803658383507e-06
Iteratia 118 : 	x0 = 13.999806041259191		delta = 1.6437814480460084e-06
Iteratia 119 : 	x0 = 13.99980439747666		delta = 1.6437825302550524e-06
Iteratia 120 : 	x0 = 13.999802753693048		delta = 1.643783612465704e-06
Iteratia 121 : 	x0 = 13.999801109908354		delta = 1.6437846946782544e-06
Iteratia 122 : 	x0 = 13.999799466122576		delta = 1.643785776892047e-06
Iteratia 123 : 	x0 = 13.999797822335717		delta = 1.6437868591074446e-06
Iteratia 124 : 	x0 = 13.999796178547776		delta = 1.6437879413246692e-06
Iteratia 125 : 	x0 = 13.999794534758752		delta = 1.6437890235432811e-06
Iteratia 126 : 	x0 = 13.999792890968648		delta = 1.6437901057633544e-06
Iteratia 127 : 	x0 = 13.999791247177459		delta = 1.6437911879853275e-06
Iteratia 128 : 	x0 = 13.999789603385189		delta = 1.6437922702087588e-06
Iteratia 129 : 	x0 = 13.999787959591837		delta = 1.643793352433579e-06
Iteratia 130 : 	x0 = 13.999786315797403		delta = 1.6437944346603712e-06
Iteratia 131 : 	x0 = 13.999784672001885		delta = 1.6437955168880409e-06
Iteratia 132 : 	x0 = 13.999783028205286		delta = 1.643796599117608e-06
Iteratia 133 : 	x0 = 13.999781384407605		delta = 1.6437976813489276e-06
Iteratia 134 : 	x0 = 13.999779740608842		delta = 1.6437987635814897e-06
Iteratia 135 : 	x0 = 13.999778096808996		delta = 1.6437998458158056e-06
Iteratia 136 : 	x0 = 13.999776453008067		delta = 1.6438009280519452e-06
Iteratia 137 : 	x0 = 13.999774809206057		delta = 1.6438020102892545e-06
Iteratia 138 : 	x0 = 13.999773165402965		delta = 1.6438030925282437e-06
Iteratia 139 : 	x0 = 13.99977152159879		delta = 1.64380417476884e-06
Iteratia 140 : 	x0 = 13.999769877793533		delta = 1.643805257011262e-06
Iteratia 141 : 	x0 = 13.999768233987194		delta = 1.6438063392545593e-06
